t,variance,rhythm
10.0,245895.6,0.154
10.5,259322.7,0.144
11.0,286540.9,0.125
11.5,260350.5,0.223
12.0,282598.0,0.241
12.5,353994.0,0.316
13.0,418602.3,0.216
13.5,485872.9,0.142
14.0,416119.8,0.160
14.5,339558.4,0.240
15.0,229424.9,0.210
15.5,121681.1,0.118
16.0,41859.7,0.157
16.5,22027.3,0.131
17.0,23547.8,0.147
17.5,20171.4,0.190
18.0,36204.6,0.164
18.5,40362.6,0.293
19.0,49099.7,0.221
19.5,56991.7,0.311
20.0,59256.0,0.266
20.5,34926.5,0.136
21.0,14620.4,0.130
21.5,12427.0,0.259
22.0,8205.9,0.193
22.5,5489.2,0.113
23.0,5236.6,0.162
23.5,4989.0,0.172
24.0,5197.1,0.131
24.5,4884.5,0.115
25.0,3489.2,0.136
25.5,9141.5,0.101
26.0,11543.9,0.250
26.5,13214.2,0.192
27.0,37921.2,0.170
27.5,46794.9,0.130
28.0,43231.9,0.099
28.5,40764.3,0.120
29.0,54605.8,0.091
29.5,36165.7,0.124
30.0,27204.0,0.207
30.5,25201.2,0.212
31.0,25316.4,0.183
31.5,10986.2,0.270
32.0,4018.2,0.186
32.5,4529.9,0.250
33.0,6926.1,0.217
33.5,6906.1,0.201
34.0,7476.1,0.133
34.5,18208.6,0.153
35.0,22329.7,0.227
35.5,27167.6,0.324
36.0,59940.9,0.287
36.5,124260.2,0.215
37.0,120098.7,0.187
37.5,139244.3,0.130
38.0,137180.1,0.136
38.5,130246.4,0.111
39.0,50984.9,0.215
39.5,50692.3,0.296
40.0,88899.4,0.335
40.5,100831.3,0.318
41.0,104726.1,0.315
41.5,101361.1,0.343
42.0,101017.5,0.286
42.5,39507.4,0.159
43.0,23231.0,0.140
43.5,29012.8,0.202
44.0,58488.4,0.150
44.5,67900.1,0.265
45.0,95118.0,0.282
45.5,153079.3,0.353
46.0,172424.3,0.401
46.5,215567.0,0.237
47.0,429419.8,0.390
47.5,645700.6,0.472
48.0,681683.8,0.572
48.5,704614.9,0.555
49.0,686682.8,0.514
49.5,461272.9,0.415
50.0,232887.8,0.313
50.5,119859.9,0.506
51.0,72503.5,0.334
51.5,19237.2,0.190
52.0,70799.8,0.099
52.5,121609.3,0.227
53.0,127570.5,0.269
53.5,143999.9,0.232
54.0,144421.5,0.225
54.5,133199.9,0.169
55.0,57911.7,0.275
55.5,56093.6,0.260
56.0,42665.3,0.179
56.5,38102.5,0.164
57.0,12833.4,0.239
57.5,13024.8,0.241
58.0,10189.6,0.139
58.5,8875.7,0.221
59.0,6609.3,0.272
59.5,7313.6,0.184
60.0,9609.2,0.187
60.5,34669.9,0.301
61.0,59109.7,0.285
61.5,76864.0,0.237
62.0,144010.2,0.268
62.5,188359.1,0.248
63.0,203917.5,0.194
63.5,168293.6,0.275
64.0,171832.1,0.213
64.5,132004.3,0.179
65.0,91191.0,0.135
65.5,120303.4,0.111
66.0,213887.8,0.252
66.5,263343.5,0.217
67.0,284965.2,0.224
67.5,295876.1,0.221
68.0,268496.3,0.267
68.5,247289.9,0.227
69.0,283559.1,0.302
69.5,934380.9,0.238
70.0,951618.4,0.254
70.5,1000128.8,0.242
71.0,1022372.0,0.267
71.5,1088127.6,0.300
72.0,538047.1,0.191
72.5,622438.5,0.278
73.0,591962.6,0.268
73.5,480606.5,0.305
74.0,356817.0,0.370
74.5,137048.8,0.240
75.0,29314.9,0.165
75.5,17615.0,0.060
76.0,30018.3,0.243
76.5,33679.1,0.233
77.0,36490.4,0.222
77.5,100845.0,0.097
78.0,111554.5,0.119
78.5,104689.2,0.139
79.0,99495.3,0.178
79.5,288936.3,0.242
80.0,286989.7,0.463
80.5,314935.5,0.420
81.0,338542.5,0.447
81.5,329649.0,0.427
82.0,170032.8,0.221
82.5,68732.6,0.409
83.0,40806.9,0.132
83.5,18516.9,0.122
84.0,19820.2,0.110
84.5,32880.9,0.148
85.0,54061.8,0.188
85.5,50972.8,0.183
86.0,62138.2,0.140
86.5,63115.0,0.137
87.0,54196.4,0.235
87.5,42623.0,0.243
