t,variance,rhythm
10.0,5529564.4,0.084
10.5,6940462.0,0.133
11.0,8644749.0,0.111
11.5,6504702.4,0.113
12.0,4400026.4,0.166
12.5,4419735.0,0.138
13.0,4467229.6,0.099
13.5,2733483.6,0.123
14.0,3851198.0,0.108
14.5,3651060.8,0.114
15.0,4333897.0,0.141
15.5,3473521.2,0.120
16.0,3815826.8,0.123
16.5,2804505.6,0.097
17.0,3202578.8,0.084
17.5,2528359.8,0.141
18.0,2264117.8,0.117
18.5,2249456.4,0.156
19.0,1660098.0,0.223
19.5,1069549.6,0.131
20.0,660913.7,0.139
20.5,652483.1,0.126
21.0,543759.3,0.081
21.5,353453.7,0.184
22.0,721352.5,0.139
22.5,672303.2,0.161
23.0,603383.0,0.209
23.5,977182.8,0.142
24.0,1104673.5,0.095
24.5,818141.8,0.145
25.0,654971.0,0.166
25.5,618460.9,0.124
26.0,334562.5,0.166
26.5,240222.8,0.259
27.0,193164.5,0.292
27.5,168294.2,0.318
28.0,185461.9,0.332
28.5,943032.0,0.067
29.0,1240491.2,0.217
29.5,1573475.0,0.192
30.0,3051895.6,0.135
30.5,3077499.0,0.138
31.0,3070540.0,0.245
31.5,2944787.6,0.232
32.0,3165785.2,0.176
32.5,1838200.4,0.045
33.0,1777320.4,0.082
33.5,1939932.4,0.083
34.0,2110655.8,0.111
34.5,2285517.2,0.155
35.0,2816167.6,0.097
35.5,2897146.0,0.106
36.0,2255241.6,0.104
36.5,3460637.2,0.102
37.0,2770835.8,0.082
37.5,2818916.8,0.088
38.0,2781258.4,0.113
38.5,3022308.8,0.118
39.0,1711805.2,0.155
39.5,1764174.4,0.229
40.0,1445444.2,0.187
40.5,1661033.0,0.170
41.0,1294158.5,0.174
41.5,1227445.6,0.158
42.0,1087304.6,0.142
42.5,1049134.1,0.095
43.0,525251.0,0.190
43.5,1283142.6,0.210
44.0,2089108.0,0.272
44.5,2589649.6,0.311
45.0,2600101.8,0.294
45.5,2872024.4,0.271
46.0,2301326.2,0.211
46.5,2010024.2,0.158
47.0,1357042.0,0.115
47.5,1245020.9,0.173
48.0,1054701.4,0.175
48.5,1119798.0,0.197
49.0,589617.6,0.248
49.5,509322.0,0.189
50.0,483529.9,0.199
50.5,637333.7,0.100
51.0,1139484.4,0.161
51.5,1369536.8,0.168
52.0,1400765.1,0.180
52.5,1407803.6,0.171
53.0,1183795.5,0.254
53.5,531072.3,0.157
54.0,305246.9,0.254
54.5,201387.5,0.248
55.0,239151.8,0.160
55.5,217471.4,0.190
56.0,329262.8,0.106
56.5,295878.1,0.115
57.0,309611.1,0.117
57.5,317109.2,0.140
58.0,373014.6,0.123
58.5,229113.6,0.238
59.0,203124.6,0.304
59.5,189560.0,0.261
60.0,129082.9,0.148
60.5,53136.8,0.215
61.0,55642.8,0.222
61.5,70627.0,0.163
62.0,67800.7,0.177
62.5,174296.6,0.133
63.0,457695.9,0.251
63.5,781730.6,0.362
64.0,1999579.0,0.198
64.5,3072922.0,0.284
65.0,5669832.0,0.142
65.5,5681318.0,0.142
66.0,6204465.6,0.136
66.5,5270760.0,0.159
67.0,4601462.4,0.246
67.5,1868971.6,0.278
68.0,1414834.5,0.215
68.5,965564.9,0.121
69.0,2876621.0,0.147
69.5,3715014.0,0.068
70.0,3701604.8,0.065
70.5,7121139.0,0.027
71.0,13273567.0,0.214
71.5,13925977.0,0.356
72.0,13114982.0,0.395
72.5,14177439.0,0.405
73.0,10843286.0,0.391
73.5,3414909.2,0.121
74.0,1222813.4,0.314
74.5,928408.7,0.030
75.0,173739.0,0.129
75.5,485662.2,0.166
76.0,2257363.6,0.303
76.5,3593157.2,0.125
77.0,10031312.0,0.226
77.5,13129964.0,0.193
78.0,12825260.0,0.234
78.5,12785389.0,0.195
79.0,11940142.0,0.165
79.5,7092736.0,0.043
80.0,5025138.0,0.098
80.5,12358184.0,0.143
81.0,13421421.0,0.112
81.5,13571527.0,0.105
82.0,14633426.0,0.129
82.5,13760279.0,0.124
83.0,15134261.0,0.133
83.5,16043304.0,0.113
84.0,19626974.0,0.000
84.5,17149490.0,0.000
85.0,16788344.0,0.010
85.5,10741775.0,0.156
86.0,11659366.0,0.000
86.5,6784998.4,0.031
87.0,6786249.0,0.031
87.5,5982146.4,0.066
88.0,5998233.6,0.085
88.5,2766526.8,0.112
89.0,2461262.4,0.000
89.5,2931122.4,0.038
90.0,4409257.6,0.000
90.5,4760891.0,0.000
91.0,5955530.0,0.107
91.5,9665630.0,0.275
92.0,18683174.0,0.475
92.5,23864440.0,0.620
93.0,29711606.0,0.722
93.5,34577890.0,0.776
94.0,36133428.0,0.796
94.5,36853500.0,0.789
95.0,40496804.0,0.731
95.5,46633644.0,0.746
96.0,54515300.0,0.764
96.5,62781144.0,0.760
97.0,67985380.0,0.802
97.5,71454024.0,0.812
98.0,73683336.0,0.676
98.5,63699348.0,0.617
99.0,53919690.0,0.585
99.5,44377804.0,0.481
100.0,36199710.0,0.483
100.5,33715510.0,0.609
101.0,36179070.0,0.689
101.5,38216644.0,0.731
102.0,40237464.0,0.682
102.5,38694684.0,0.607
103.0,29417926.0,0.683
103.5,25775950.0,0.481
104.0,25541824.0,0.167
104.5,19196176.0,0.105
105.0,15556397.0,0.129
105.5,12938922.0,0.132
106.0,8774875.0,0.038
106.5,1973021.0,0.159
107.0,2302384.4,0.112
107.5,3598099.0,0.163
108.0,13167549.0,0.158
108.5,15516921.0,0.193
109.0,25146776.0,0.132
109.5,24504384.0,0.126
110.0,22979258.0,0.094
110.5,12799785.0,0.123
111.0,12403926.0,0.072
111.5,28696.5,0.160
112.0,68438.1,0.156
112.5,97381.9,0.323
113.0,86037.5,0.339
113.5,87896.0,0.319
114.0,82417.9,0.336
114.5,43814.3,0.208
115.0,17839.9,0.142
115.5,165075.5,0.203
116.0,8322032.0,0.207
116.5,11090605.0,0.243
117.0,12085899.0,0.213
117.5,11712443.0,0.174
118.0,15822288.0,0.164
118.5,10765389.0,0.295
119.0,8029627.0,0.089
119.5,6451272.4,0.110
120.0,8383209.0,0.148
120.5,6499685.6,0.251
121.0,5046108.4,0.229
121.5,11005136.0,0.087
122.0,11735676.0,0.160
122.5,17458776.0,0.097
123.0,28383426.0,0.158
123.5,30110978.0,0.182
124.0,24056990.0,0.210
124.5,25230466.0,0.152
125.0,23182834.0,0.134
125.5,11984397.0,0.107
126.0,36650948.0,0.226
126.5,73589060.0,0.404
127.0,107181040.0,0.467
127.5,126997470.0,0.347
128.0,128910570.0,0.404
128.5,136712420.0,0.402
129.0,135596360.0,0.319
129.5,121848056.0,0.228
130.0,94117704.0,0.289
130.5,93177740.0,0.346
131.0,117918610.0,0.239
131.5,146409020.0,0.364
132.0,145428040.0,0.322
132.5,147439980.0,0.323
133.0,154282990.0,0.378
133.5,132632570.0,0.409
134.0,19096404.0,0.179
134.5,10290400.0,0.293
135.0,9939840.0,0.310
135.5,5286189.0,0.023
136.0,8186.5,0.198
136.5,4244.8,0.218
137.0,2601.8,0.148
137.5,2451.6,0.110
138.0,2831.3,0.198
138.5,4679.5,0.328
139.0,182341.5,0.043
139.5,1076774.9,0.048
140.0,1612393.1,0.159
140.5,1679876.4,0.157
141.0,3572513.2,0.133
141.5,3739943.2,0.230
142.0,6086748.4,0.052
142.5,5179390.0,0.059
143.0,5113640.0,0.044
143.5,3222135.8,0.092
144.0,3001756.0,0.021
144.5,11268.0,0.226
145.0,541910.5,0.231
145.5,1313923.2,0.174
146.0,2427324.8,0.128
146.5,2596731.8,0.130
147.0,5147641.0,0.066
147.5,5050338.4,0.164
148.0,4290270.4,0.217
148.5,3634026.8,0.213
149.0,3395210.4,0.203
149.5,839442.6,0.031
